Name|Phone|Review Count|Foody Link|Category|District|City
Tian Cha Milk Tea|(08)73020606|17|https://www.foody.vn/ho-chi-minh/tian-cha-milk-tea|Café/Dessert|Quận 1|TP. HCM
Gâteaux Deli - Coffee & Cake||5|https://www.foody.vn/ho-chi-minh/gateaux-deli-coffee-cake|Café/Dessert|Quận 3|TP. HCM
Meet Fresh - Ngô Đức Kế|1900588899(ưutiên), 0902856139|313|https://www.foody.vn/ho-chi-minh/meet-fresh-vietnam-ngo-duc-ke|Café/Dessert|Quận 1|TP. HCM
Ngõ 8 - Trà Chanh & Lẩu Riêu Cua Đồng - Trương Định|01224222229|267|https://www.foody.vn/ho-chi-minh/ngo-8-tra-chanh-lau-rieu-cua-dong-truong-dinh|Quán ăn|Quận 3|TP. HCM
Mệ Vui 1 - Cơm Gà Hội An|(08)66732193|36|https://www.foody.vn/ho-chi-minh/me-vui-1-com-ga-hoi-an|Quán ăn|Quận 3|TP. HCM
SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Đường 17A||2|https://www.foody.vn/ho-chi-minh/sasin-mi-cay-7-cap-do-han-quoc-duong-17a|Quán ăn|Quận Bình Tân|TP. HCM
Food House Restaurant - Nam Kỳ Khởi Nghĩa|(08)66822784|131|https://www.foody.vn/ho-chi-minh/foodhouse171-nam-ky-khoi-nghia|Nhà hàng,|Quận 3|TP. HCM
Ryoyu Bakery - Vincom Mega Mall Thảo Điền|(08)36202422|6|https://www.foody.vn/ho-chi-minh/ryoyu-bakery-vincom-mega-mall-thao-dien|Tiệm bánh|Quận 2|TP. HCM
Gâteaux Deli - Coffee & Cake|0902770899|5|https://www.foody.vn/ho-chi-minh/gateaux-deli-coffee-cake|Café/Dessert|Quận 3|TP. HCM
Little Something - Dessert & Ice Cream - Hồ Tùng Mậu|01207633819|159|https://www.foody.vn/ho-chi-minh/little-something-dessert-kem|Café/Dessert|Quận 1|TP. HCM
Highlands Coffee - Maximark Cộng Hòa|(08)38116225|7|https://www.foody.vn/ho-chi-minh/highlands-coffee-maximark-cong-hoa|Café/Dessert|Quận Tân Bình|TP. HCM
Cộng Caphe - Lý Tự Trọng|0911811165|95|https://www.foody.vn/ho-chi-minh/cong-ca-phe-saigon-ly-tu-trong|Café/Dessert|Quận 1|TP. HCM
Thie Macaron Bakery|0933732497|7|https://www.foody.vn/ho-chi-minh/thie-macaron-bakery|Shop Online|Quận Phú Nhuận|TP. HCM
Masamune Ramen & Bar|(028)38238755|4|https://www.foody.vn/ho-chi-minh/masamune-ramen-bar|Nhà hàng|Quận 1|TP. HCM
Lẩu Nấm Chay Phước Duyên|0938191457|5|https://www.foody.vn/ho-chi-minh/lau-nam-chay-phuoc-duyen|Ăn chay|Quận 5|TP. HCM
Fly Cupcake Garden - Tú Xương|(08)39322299|409|https://www.foody.vn/ho-chi-minh/fly-cupcake-tu-xuong|Café/Dessert,|Quận 3|TP. HCM
Phúc Long Coffee & Tea House - Lý Tự Trọng|(08)38220166|551|https://www.foody.vn/ho-chi-minh/phuc-long-coffee-tea-house-ly-tu-trong|Café/Dessert|Quận 1|TP. HCM
Quán Ăn Gia Đình Tía Ơi|0906277939|35|https://www.foody.vn/ho-chi-minh/quan-tia-oi-coffee-diem-tam-com-van-phong|Café/Dessert|Quận 11|TP. HCM
The 1985 Cafe - Trà & Bánh|0936215752|468|https://www.foody.vn/ho-chi-minh/the-1985-cafe-pham-viet-chanh|Café/Dessert|Quận 1|TP. HCM
SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Đường 17A|0902399078|2|https://www.foody.vn/ho-chi-minh/sasin-mi-cay-7-cap-do-han-quoc-duong-17a|Quán ăn|Quận Bình Tân|TP. HCM
Ếch Ngon - Âu Cơ|0933333324|23|https://www.foody.vn/ho-chi-minh/ech-ngon-au-co|Quán ăn|Quận 11|TP. HCM
Ryoyu Bakery - Vincom Mega Mall Thảo Điền||6|https://www.foody.vn/ho-chi-minh/ryoyu-bakery-vincom-mega-mall-thao-dien|Tiệm bánh|Quận 2|TP. HCM
Quán Rượu Cung Đình|0909736865|114|https://www.foody.vn/ho-chi-minh/quan-ruou-cung-dinh|Nhà hàng,|Quận 7|TP. HCM
Namy Besu - Bia Sữa Namy - Đặng Văn Bi|0909029758|8|https://www.foody.vn/ho-chi-minh/namy-besu-bia-sua-namy-dang-van-bi|Café/Dessert|Quận Thủ Đức|TP. HCM
Hoa Đăng - Nhà Hàng Chay Loving Hut|(08)38209702|94|https://www.foody.vn/ho-chi-minh/hoa-dang-nha-hang-chay-loving-hut|Nhà hàng|Quận 1|TP. HCM
Jin Jin - Pasta House - TTTM Takashimaya|01203567709|11|https://www.foody.vn/ho-chi-minh/jin-jin-pasta-house-takashimaya-vietnam|Nhà hàng|Quận 1|TP. HCM
Only Tea - Trà Đào Dầm - Hồ Thị Kỷ|0903683677|1|https://www.foody.vn/ho-chi-minh/only-tea-tra-dao-dam-ho-thi-ky|Café/Dessert|Quận 10|TP. HCM
Hằng Tiramisu - Út Tịch|0964113677|23|https://www.foody.vn/ho-chi-minh/hang-tiramisu-ut-tich|Tiệm bánh|Quận Tân Bình|TP. HCM
Caztus Coffee - Võ Thị Sáu||341|https://www.foody.vn/ho-chi-minh/caztus-coffee-vo-thi-sau|Café/Dessert|Quận 1|TP. HCM
ZUZU Milk Tea|(028)38213831|13|https://www.foody.vn/ho-chi-minh/zuzu-milk-tea|Café/Dessert|Quận 1|TP. HCM
Oven Maru Chicken - Ẩm Thực Hàn Quốc||253|https://www.foody.vn/ho-chi-minh/oven-maru-chicken-am-thuc-han-quoc|Nhà hàng|Quận 1|TP. HCM
The First - Steakhouse & Cafe - Nguyễn Văn Giai|0966352926|112|https://www.foody.vn/ho-chi-minh/the-first-restaurant-cafe|Nhà hàng|Quận 1|TP. HCM
Gà Rán Popeyes - Bưu Điện Thành Phố|(08)38256986, 19006008|250|https://www.foody.vn/ho-chi-minh/ga-ran-popeyes-buu-dien-thanh-pho|Nhà hàng|Quận 1|TP. HCM
Domino's Pizza - Kha Vạn Cân|19006099|32|https://www.foody.vn/ho-chi-minh/domino-s-pizza-kha-van-can|Nhà hàng|Quận Thủ Đức|TP. HCM
Lẩu Tôm Ađ|01234558678, 0918478848|29|https://www.foody.vn/ho-chi-minh/lau-tom-ad|Quán ăn|Quận 5|TP. HCM
